date,location,country,total_vaccinations_raw,total_distributed_raw,pop_est,division,total_vaccinations_int,total_distributed_int,daily_vaccinations_int,daily_distributed_int,daily_vaccinations_rolling,daily_distributed_rolling
2021-01-12,Alabama,usa,78134.0,377025.0,4903956.277143885,East South Central,78134.0,377025.0,,,,
2021-01-13,Alabama,usa,84040.0,378975.0,4903956.277143885,East South Central,84040.0,378975.0,5906.0,1950.0,5906.0,1950.0
2021-01-14,Alabama,usa,92300.0,435350.0,4903956.277143885,East South Central,92300.0,435350.0,8260.0,56375.0,7083.0,29162.5
2021-01-15,Alabama,usa,100567.0,444650.0,4903956.277143885,East South Central,100567.0,444650.0,8267.0,9300.0,7477.666666666667,22541.666666666668
2021-01-16,Alabama,usa,,,4903956.277143885,East South Central,108124.0,444650.0,7557.0,0.0,7497.5,16906.25
2021-01-17,Alabama,usa,,,4903956.277143885,East South Central,115681.0,444650.0,7557.0,0.0,7509.4,13525.0
2021-01-18,Alabama,usa,,,4903956.277143885,East South Central,123238.0,444650.0,7557.0,0.0,7517.333333333333,11270.833333333334
2021-01-19,Alabama,usa,130795.0,444650.0,4903956.277143885,East South Central,130795.0,444650.0,7557.0,0.0,7523.0,9660.714285714286
2021-01-20,Alabama,usa,139200.0,483275.0,4903956.277143885,East South Central,139200.0,483275.0,8405.0,38625.0,7880.0,14900.0
2021-01-21,Alabama,usa,165919.0,493125.0,4903956.277143885,East South Central,165919.0,493125.0,26719.0,9850.0,10517.0,8253.57142857143
2021-01-22,Alabama,usa,199314.0,519525.0,4903956.277143885,East South Central,199314.0,519525.0,33395.0,26400.0,14106.714285714286,10696.42857142857
2021-01-23,Alabama,usa,221540.0,521225.0,4903956.277143885,East South Central,221540.0,521225.0,22226.0,1700.0,16202.285714285714,10939.285714285714
2021-01-24,Alabama,usa,243737.0,521225.0,4903956.277143885,East South Central,243737.0,521225.0,22197.0,0.0,18293.714285714286,10939.285714285714
2021-01-25,Alabama,usa,250612.0,521225.0,4903956.277143885,East South Central,250612.0,521225.0,6875.0,0.0,18196.285714285714,10939.285714285714
2021-01-26,Alabama,usa,254959.0,569000.0,4903956.277143885,East South Central,254959.0,569000.0,4347.0,47775.0,17737.714285714286,17764.285714285714
2021-01-27,Alabama,usa,266444.0,634000.0,4903956.277143885,East South Central,266444.0,634000.0,11485.0,65000.0,18177.714285714286,21532.14285714286
2021-01-28,Alabama,usa,278993.0,655275.0,4903956.277143885,East South Central,278993.0,655275.0,12549.0,21275.0,16153.42857142857,23164.285714285714
2021-01-29,Alabama,usa,300915.0,659400.0,4903956.277143885,East South Central,300915.0,659400.0,21922.0,4125.0,14514.42857142857,19982.14285714286
2021-01-30,Alabama,usa,342436.0,659400.0,4903956.277143885,East South Central,342436.0,659400.0,41521.0,0.0,17270.85714285714,19739.285714285714
2021-01-31,Alabama,usa,353974.0,659400.0,4903956.277143885,East South Central,353974.0,659400.0,11538.0,0.0,15748.142857142857,19739.285714285714
2021-02-01,Alabama,usa,358280.0,659400.0,4903956.277143885,East South Central,358280.0,659400.0,4306.0,0.0,15381.142857142857,19739.285714285714
2021-02-02,Alabama,usa,371882.0,680550.0,4903956.277143885,East South Central,371882.0,680550.0,13602.0,21150.0,16703.285714285714,15935.714285714286
2021-02-03,Alabama,usa,388339.0,765150.0,4903956.277143885,East South Central,388339.0,765150.0,16457.0,84600.0,17413.571428571428,18735.714285714286
2021-02-04,Alabama,usa,408428.0,799675.0,4903956.277143885,East South Central,408428.0,799675.0,20089.0,34525.0,18490.714285714286,20628.571428571428
2021-02-05,Alabama,usa,430597.0,799875.0,4903956.277143885,East South Central,430597.0,799875.0,22169.0,200.0,18526.0,20067.85714285714
2021-02-06,Alabama,usa,455173.0,804100.0,4903956.277143885,East South Central,455173.0,804100.0,24576.0,4225.0,16105.285714285714,20671.428571428572
2021-02-07,Alabama,usa,462332.0,804100.0,4903956.277143885,East South Central,462332.0,804100.0,7159.0,0.0,15479.714285714286,20671.428571428572
2021-02-08,Alabama,usa,467636.0,804100.0,4903956.277143885,East South Central,467636.0,804100.0,5304.0,0.0,15622.285714285714,20671.428571428572
2021-02-09,Alabama,usa,490969.0,823600.0,4903956.277143885,East South Central,490969.0,823600.0,23333.0,19500.0,17012.428571428572,20435.714285714286
2021-02-10,Alabama,usa,515802.0,861175.0,4903956.277143885,East South Central,515802.0,861175.0,24833.0,37575.0,18209.0,13717.857142857143
2021-02-11,Alabama,usa,543237.0,911875.0,4903956.277143885,East South Central,543237.0,911875.0,27435.0,50700.0,19258.428571428572,16028.57142857143
2021-02-12,Alabama,usa,571115.0,936200.0,4903956.277143885,East South Central,571115.0,936200.0,27878.0,24325.0,20074.0,19475.0
2021-02-13,Alabama,usa,601159.0,963600.0,4903956.277143885,East South Central,601159.0,963600.0,30044.0,27400.0,20855.14285714286,22785.714285714286
2021-02-14,Alabama,usa,612254.0,965550.0,4903956.277143885,East South Central,612254.0,965550.0,11095.0,1950.0,21417.428571428572,23064.285714285714
2021-02-15,Alabama,usa,,,4903956.277143885,East South Central,624468.0,990662.5,12214.0,25112.5,22404.571428571428,26651.785714285714
2021-02-16,Alabama,usa,636682.0,1015775.0,4903956.277143885,East South Central,636682.0,1015775.0,12214.0,25112.5,20816.14285714286,27453.571428571428
2021-02-17,Alabama,usa,650020.0,1032175.0,4903956.277143885,East South Central,650020.0,1032175.0,13338.0,16400.0,19174.0,24428.571428571428
2021-02-18,Alabama,usa,672038.0,1032175.0,4903956.277143885,East South Central,672038.0,1032175.0,22018.0,0.0,18400.14285714286,17185.714285714286
2021-02-19,Alabama,usa,739132.0,1077600.0,4903956.277143885,East South Central,739132.0,1077600.0,67094.0,45425.0,24002.428571428572,20200.0
2021-02-20,Alabama,usa,776936.0,1078800.0,4903956.277143885,East South Central,776936.0,1078800.0,37804.0,1200.0,25111.0,16457.14285714286
2021-02-21,Alabama,usa,788613.0,1082100.0,4903956.277143885,East South Central,788613.0,1082100.0,11677.0,3300.0,25194.14285714286,16650.0
2021-02-22,Alabama,usa,793614.0,1082100.0,4903956.277143885,East South Central,793614.0,1082100.0,5001.0,0.0,24163.714285714286,13062.5
2021-02-23,Alabama,usa,815108.0,1084440.0,4903956.277143885,East South Central,815108.0,1084440.0,21494.0,2340.0,25489.428571428572,9809.285714285714
2021-02-24,Alabama,usa,839703.0,1138650.0,4903956.277143885,East South Central,839703.0,1138650.0,24595.0,54210.0,27097.571428571428,15210.714285714286
2021-02-25,Alabama,usa,864757.0,1170120.0,4903956.277143885,East South Central,864757.0,1170120.0,25054.0,31470.0,27531.285714285714,19706.428571428572
2021-02-26,Alabama,usa,893859.0,1380380.0,4903956.277143885,East South Central,893859.0,1380380.0,29102.0,210260.0,22103.85714285714,43254.28571428572
2021-02-27,Alabama,usa,931090.0,1402180.0,4903956.277143885,East South Central,931090.0,1402180.0,37231.0,21800.0,22022.0,46197.142857142855
2021-02-28,Alabama,usa,942502.0,1402280.0,4903956.277143885,East South Central,942502.0,1402280.0,11412.0,100.0,21984.14285714286,45740.0
2021-03-01,Alabama,usa,948393.0,1402280.0,4903956.277143885,East South Central,948393.0,1402280.0,5891.0,0.0,22111.285714285714,45740.0
2021-03-02,Alabama,usa,972161.0,1461320.0,4903956.277143885,East South Central,972161.0,1461320.0,23768.0,59040.0,22436.14285714286,53840.0
2021-01-12,Alaska,usa,35838.0,141600.0,731528.4415770354,Pacific,35838.0,141600.0,,,,
2021-01-13,Alaska,usa,38680.0,149475.0,731528.4415770354,Pacific,38680.0,149475.0,2842.0,7875.0,2842.0,7875.0
2021-01-14,Alaska,usa,42596.0,150450.0,731528.4415770354,Pacific,42596.0,150450.0,3916.0,975.0,3379.0,4425.0
2021-01-15,Alaska,usa,49039.0,150450.0,731528.4415770354,Pacific,49039.0,150450.0,6443.0,0.0,4400.333333333333,2950.0
2021-01-16,Alaska,usa,,,731528.4415770354,Pacific,53362.0,150450.0,4323.0,0.0,4381.0,2212.5
2021-01-17,Alaska,usa,,,731528.4415770354,Pacific,57685.0,150450.0,4323.0,0.0,4369.4,1770.0
2021-01-18,Alaska,usa,,,731528.4415770354,Pacific,62008.0,150450.0,4323.0,0.0,4361.666666666667,1475.0
2021-01-19,Alaska,usa,66331.0,150450.0,731528.4415770354,Pacific,66331.0,150450.0,4323.0,0.0,4356.142857142857,1264.2857142857142
2021-01-20,Alaska,usa,68293.0,150350.0,731528.4415770354,Pacific,68293.0,150350.0,1962.0,0.0,4230.428571428572,139.28571428571428
2021-01-21,Alaska,usa,71907.0,154325.0,731528.4415770354,Pacific,71907.0,154325.0,3614.0,3975.0,4187.285714285715,567.8571428571429
2021-01-22,Alaska,usa,81096.0,155500.0,731528.4415770354,Pacific,81096.0,155500.0,9189.0,1175.0,4579.571428571428,735.7142857142857
2021-01-23,Alaska,usa,88344.0,155700.0,731528.4415770354,Pacific,88344.0,155700.0,7248.0,200.0,4997.428571428572,764.2857142857143
2021-01-24,Alaska,usa,94257.0,155700.0,731528.4415770354,Pacific,94257.0,155700.0,5913.0,0.0,5224.571428571428,764.2857142857143
2021-01-25,Alaska,usa,97031.0,155700.0,731528.4415770354,Pacific,97031.0,155700.0,2774.0,0.0,5003.285714285715,764.2857142857143
2021-01-26,Alaska,usa,98149.0,162925.0,731528.4415770354,Pacific,98149.0,162925.0,1118.0,7225.0,4545.428571428572,1796.4285714285713
2021-01-27,Alaska,usa,101597.0,170575.0,731528.4415770354,Pacific,101597.0,170575.0,3448.0,7650.0,4757.714285714285,2889.285714285714
2021-01-28,Alaska,usa,105858.0,178075.0,731528.4415770354,Pacific,105858.0,178075.0,4261.0,7500.0,4850.142857142857,3392.8571428571427
2021-01-29,Alaska,usa,110396.0,192350.0,731528.4415770354,Pacific,110396.0,192350.0,4538.0,14275.0,4185.714285714285,5264.285714285715
2021-01-30,Alaska,usa,115268.0,193150.0,731528.4415770354,Pacific,115268.0,193150.0,4872.0,800.0,3846.285714285714,5350.0
2021-01-31,Alaska,usa,119590.0,193150.0,731528.4415770354,Pacific,119590.0,193150.0,4322.0,0.0,3619.0,5350.0
2021-02-01,Alaska,usa,122020.0,193150.0,731528.4415770354,Pacific,122020.0,193150.0,2430.0,0.0,3569.8571428571427,5350.0
2021-02-02,Alaska,usa,123443.0,196975.0,731528.4415770354,Pacific,123443.0,196975.0,1423.0,3825.0,3613.4285714285716,4864.285714285715
2021-02-03,Alaska,usa,125765.0,229975.0,731528.4415770354,Pacific,125765.0,229975.0,2322.0,33000.0,3452.5714285714284,8485.714285714286
2021-02-04,Alaska,usa,129936.0,240325.0,731528.4415770354,Pacific,129936.0,240325.0,4171.0,10350.0,3439.714285714286,8892.857142857143
2021-02-05,Alaska,usa,134002.0,245700.0,731528.4415770354,Pacific,134002.0,245700.0,4066.0,5375.0,3372.285714285714,7621.428571428572
2021-02-06,Alaska,usa,139147.0,248500.0,731528.4415770354,Pacific,139147.0,248500.0,5145.0,2800.0,3411.285714285714,7907.142857142857
2021-02-07,Alaska,usa,146082.0,248500.0,731528.4415770354,Pacific,146082.0,248500.0,6935.0,0.0,3784.5714285714284,7907.142857142857
2021-02-08,Alaska,usa,150934.0,248500.0,731528.4415770354,Pacific,150934.0,248500.0,4852.0,0.0,4130.571428571428,7907.142857142857
2021-02-09,Alaska,usa,152874.0,256900.0,731528.4415770354,Pacific,152874.0,256900.0,1940.0,8400.0,4204.428571428572,8560.714285714286
2021-02-10,Alaska,usa,156255.0,260300.0,731528.4415770354,Pacific,156255.0,260300.0,3381.0,3400.0,4355.714285714285,4332.142857142857
2021-02-11,Alaska,usa,162273.0,270250.0,731528.4415770354,Pacific,162273.0,270250.0,6018.0,9950.0,4619.571428571428,4275.0
2021-02-12,Alaska,usa,167436.0,271350.0,731528.4415770354,Pacific,167436.0,271350.0,5163.0,1100.0,4776.285714285715,3664.285714285714
2021-02-13,Alaska,usa,175138.0,271550.0,731528.4415770354,Pacific,175138.0,271550.0,7702.0,200.0,5141.571428571428,3292.8571428571427
2021-02-14,Alaska,usa,183831.0,271550.0,731528.4415770354,Pacific,183831.0,271550.0,8693.0,0.0,5392.714285714285,3292.8571428571427
2021-02-15,Alaska,usa,,,731528.4415770354,Pacific,187419.5,271550.0,3588.5,0.0,5212.214285714285,3292.8571428571427
2021-02-16,Alaska,usa,191008.0,271550.0,731528.4415770354,Pacific,191008.0,271550.0,3588.5,0.0,5447.714285714285,2092.8571428571427
2021-02-17,Alaska,usa,193617.0,271550.0,731528.4415770354,Pacific,193617.0,271550.0,2609.0,0.0,5337.428571428572,1607.142857142857
2021-02-18,Alaska,usa,199151.0,271550.0,731528.4415770354,Pacific,199151.0,271550.0,5534.0,0.0,5268.285714285715,185.71428571428572
2021-02-19,Alaska,usa,216223.0,299935.0,731528.4415770354,Pacific,216223.0,299935.0,17072.0,28385.0,6969.571428571428,4083.5714285714284
2021-02-20,Alaska,usa,227403.0,299935.0,731528.4415770354,Pacific,227403.0,299935.0,11180.0,0.0,7466.428571428572,4055.0
2021-02-21,Alaska,usa,235141.0,299935.0,731528.4415770354,Pacific,235141.0,299935.0,7738.0,0.0,7330.0,4055.0
2021-02-22,Alaska,usa,238279.0,299935.0,731528.4415770354,Pacific,238279.0,299935.0,3138.0,0.0,7265.642857142857,4055.0
2021-02-23,Alaska,usa,239927.0,304875.0,731528.4415770354,Pacific,239927.0,304875.0,1648.0,4940.0,6988.428571428572,4760.714285714285
2021-02-24,Alaska,usa,243650.0,315765.0,731528.4415770354,Pacific,243650.0,315765.0,3723.0,10890.0,7147.571428571428,6316.428571428572
2021-02-25,Alaska,usa,249559.0,319265.0,731528.4415770354,Pacific,249559.0,319265.0,5909.0,3500.0,7201.142857142857,6816.428571428572
2021-02-26,Alaska,usa,254334.0,332415.0,731528.4415770354,Pacific,254334.0,332415.0,4775.0,13150.0,5444.428571428572,4640.0
2021-02-27,Alaska,usa,259538.0,342535.0,731528.4415770354,Pacific,259538.0,342535.0,5204.0,10120.0,4590.714285714285,6085.714285714285
2021-02-28,Alaska,usa,264741.0,342535.0,731528.4415770354,Pacific,264741.0,342535.0,5203.0,0.0,4228.571428571428,6085.714285714285
2021-03-01,Alaska,usa,268406.0,342535.0,731528.4415770354,Pacific,268406.0,342535.0,3665.0,0.0,4303.857142857143,6085.714285714285
2021-03-02,Alaska,usa,269941.0,372725.0,731528.4415770354,Pacific,269941.0,372725.0,1535.0,30190.0,4287.714285714285,9692.857142857143
2021-01-12,Arizona,usa,141355.0,563025.0,7278196.871414153,Mountain,141355.0,563025.0,,,,
2021-01-13,Arizona,usa,154745.0,569525.0,7278196.871414153,Mountain,154745.0,569525.0,13390.0,6500.0,13390.0,6500.0
2021-01-14,Arizona,usa,173665.0,570625.0,7278196.871414153,Mountain,173665.0,570625.0,18920.0,1100.0,16155.0,3800.0
2021-01-15,Arizona,usa,197086.0,571725.0,7278196.871414153,Mountain,197086.0,571725.0,23421.0,1100.0,18577.0,2900.0
2021-01-16,Arizona,usa,,,7278196.871414153,Mountain,214383.5,571725.0,17297.5,0.0,18257.125,2175.0
2021-01-17,Arizona,usa,,,7278196.871414153,Mountain,231681.0,571725.0,17297.5,0.0,18065.2,1740.0
2021-01-18,Arizona,usa,,,7278196.871414153,Mountain,248978.5,571725.0,17297.5,0.0,17937.25,1450.0
2021-01-19,Arizona,usa,266276.0,571725.0,7278196.871414153,Mountain,266276.0,571725.0,17297.5,0.0,17845.85714285714,1242.857142857143
2021-01-20,Arizona,usa,281887.0,752250.0,7278196.871414153,Mountain,281887.0,752250.0,15611.0,180525.0,18163.14285714286,26103.571428571428
2021-01-21,Arizona,usa,303899.0,797550.0,7278196.871414153,Mountain,303899.0,797550.0,22012.0,45300.0,18604.85714285714,32417.85714285714
2021-01-22,Arizona,usa,329349.0,822050.0,7278196.871414153,Mountain,329349.0,822050.0,25450.0,24500.0,18894.714285714286,35760.71428571428
2021-01-23,Arizona,usa,360958.0,829500.0,7278196.871414153,Mountain,360958.0,829500.0,31609.0,7450.0,20939.214285714286,36825.0
2021-01-24,Arizona,usa,390623.0,829500.0,7278196.871414153,Mountain,390623.0,829500.0,29665.0,0.0,22706.0,36825.0
2021-01-25,Arizona,usa,413662.0,829500.0,7278196.871414153,Mountain,413662.0,829500.0,23039.0,0.0,23526.214285714286,36825.0
2021-01-26,Arizona,usa,430892.0,837200.0,7278196.871414153,Mountain,430892.0,837200.0,17230.0,7700.0,23516.571428571428,37925.0
2021-01-27,Arizona,usa,458258.0,990000.0,7278196.871414153,Mountain,458258.0,990000.0,27366.0,152800.0,25195.85714285714,33964.28571428572
2021-01-28,Arizona,usa,487149.0,1011375.0,7278196.871414153,Mountain,487149.0,1011375.0,28891.0,21375.0,26178.571428571428,30546.428571428572
2021-01-29,Arizona,usa,521097.0,1012275.0,7278196.871414153,Mountain,521097.0,1012275.0,33948.0,900.0,27392.571428571428,27175.0
2021-01-30,Arizona,usa,557369.0,1013375.0,7278196.871414153,Mountain,557369.0,1013375.0,36272.0,1100.0,28058.714285714286,26267.85714285714
2021-01-31,Arizona,usa,594104.0,1013375.0,7278196.871414153,Mountain,594104.0,1013375.0,36735.0,0.0,29068.714285714286,26267.85714285714
2021-02-01,Arizona,usa,620608.0,1013375.0,7278196.871414153,Mountain,620608.0,1013375.0,26504.0,0.0,29563.714285714286,26267.85714285714
2021-02-02,Arizona,usa,631662.0,1082050.0,7278196.871414153,Mountain,631662.0,1082050.0,11054.0,68675.0,28681.428571428572,34978.57142857143
2021-02-03,Arizona,usa,656040.0,1181000.0,7278196.871414153,Mountain,656040.0,1181000.0,24378.0,98950.0,28254.571428571428,27285.714285714286
2021-02-04,Arizona,usa,686116.0,1185700.0,7278196.871414153,Mountain,686116.0,1185700.0,30076.0,4700.0,28423.85714285714,24903.571428571428
2021-02-05,Arizona,usa,719458.0,1186000.0,7278196.871414153,Mountain,719458.0,1186000.0,33342.0,300.0,28337.285714285714,24817.85714285714
2021-02-06,Arizona,usa,766788.0,1186000.0,7278196.871414153,Mountain,766788.0,1186000.0,47330.0,0.0,29917.0,24660.714285714286
2021-02-07,Arizona,usa,809230.0,1186000.0,7278196.871414153,Mountain,809230.0,1186000.0,42442.0,0.0,30732.285714285714,24660.714285714286
2021-02-08,Arizona,usa,841018.0,1186000.0,7278196.871414153,Mountain,841018.0,1186000.0,31788.0,0.0,31487.14285714286,24660.714285714286
2021-02-09,Arizona,usa,863807.0,1265950.0,7278196.871414153,Mountain,863807.0,1265950.0,22789.0,79950.0,33163.57142857143,26271.428571428572
2021-02-10,Arizona,usa,897757.0,1370175.0,7278196.871414153,Mountain,897757.0,1370175.0,33950.0,104225.0,34531.0,27025.0
2021-02-11,Arizona,usa,941575.0,1391475.0,7278196.871414153,Mountain,941575.0,1391475.0,43818.0,21300.0,36494.142857142855,29396.428571428572
2021-02-12,Arizona,usa,990296.0,1393475.0,7278196.871414153,Mountain,990296.0,1393475.0,48721.0,2000.0,38691.142857142855,29639.285714285714
2021-02-13,Arizona,usa,1041021.0,1393475.0,7278196.871414153,Mountain,1041021.0,1393475.0,50725.0,0.0,39176.142857142855,29639.285714285714
2021-02-14,Arizona,usa,1089155.0,1393575.0,7278196.871414153,Mountain,1089155.0,1393575.0,48134.0,100.0,39989.28571428572,29653.571428571428
2021-02-15,Arizona,usa,,,7278196.871414153,Mountain,1121869.0,1395025.0,32714.0,1450.0,40121.57142857143,29860.714285714286
2021-02-16,Arizona,usa,1154583.0,1396475.0,7278196.871414153,Mountain,1154583.0,1396475.0,32714.0,1450.0,41539.42857142857,18646.428571428572
2021-02-17,Arizona,usa,1164900.0,1396475.0,7278196.871414153,Mountain,1164900.0,1396475.0,10317.0,0.0,38163.28571428572,3757.1428571428573
2021-02-18,Arizona,usa,1202770.0,1396475.0,7278196.871414153,Mountain,1202770.0,1396475.0,37870.0,0.0,37313.57142857143,714.2857142857143
2021-02-19,Arizona,usa,1376405.0,1679175.0,7278196.871414153,Mountain,1376405.0,1679175.0,173635.0,282700.0,55158.42857142857,40814.28571428572
2021-02-20,Arizona,usa,1425295.0,1688255.0,7278196.871414153,Mountain,1425295.0,1688255.0,48890.0,9080.0,54896.28571428572,42111.42857142857
2021-02-21,Arizona,usa,1469676.0,1688255.0,7278196.871414153,Mountain,1469676.0,1688255.0,44381.0,0.0,54360.142857142855,42097.142857142855
2021-02-22,Arizona,usa,1506572.0,1688255.0,7278196.871414153,Mountain,1506572.0,1688255.0,36896.0,0.0,54957.57142857143,41890.0
2021-02-23,Arizona,usa,1525794.0,1755635.0,7278196.871414153,Mountain,1525794.0,1755635.0,19222.0,67380.0,53030.142857142855,51308.57142857143
2021-02-24,Arizona,usa,1555942.0,1977925.0,7278196.871414153,Mountain,1555942.0,1977925.0,30148.0,222290.0,55863.142857142855,83064.28571428571
2021-02-25,Arizona,usa,1607544.0,2064265.0,7278196.871414153,Mountain,1607544.0,2064265.0,51602.0,86340.0,57824.857142857145,95398.57142857143
2021-02-26,Arizona,usa,1671294.0,2143135.0,7278196.871414153,Mountain,1671294.0,2143135.0,63750.0,78870.0,42127.0,66280.0
2021-02-27,Arizona,usa,1728239.0,2148015.0,7278196.871414153,Mountain,1728239.0,2148015.0,56945.0,4880.0,43277.71428571428,65680.0
2021-02-28,Arizona,usa,1792447.0,2148015.0,7278196.871414153,Mountain,1792447.0,2148015.0,64208.0,0.0,46110.142857142855,65680.0
2021-03-01,Arizona,usa,1849259.0,2148015.0,7278196.871414153,Mountain,1849259.0,2148015.0,56812.0,0.0,48955.28571428572,65680.0
2021-03-02,Arizona,usa,1889742.0,2244885.0,7278196.871414153,Mountain,1889742.0,2244885.0,40483.0,96870.0,51992.57142857143,69892.85714285714
2021-01-12,Arkansas,usa,40879.0,274400.0,3017643.726170697,West South Central,40879.0,274400.0,,,,
2021-01-13,Arkansas,usa,94854.0,297800.0,3017643.726170697,West South Central,94854.0,297800.0,53975.0,23400.0,53975.0,23400.0
2021-01-14,Arkansas,usa,108316.0,297800.0,3017643.726170697,West South Central,108316.0,297800.0,13462.0,0.0,33718.5,11700.0
2021-01-15,Arkansas,usa,118338.0,297800.0,3017643.726170697,West South Central,118338.0,297800.0,10022.0,0.0,25819.666666666668,7800.0
2021-01-16,Arkansas,usa,,,3017643.726170697,West South Central,124337.75,297800.0,5999.75,0.0,20864.6875,5850.0
2021-01-17,Arkansas,usa,,,3017643.726170697,West South Central,130337.5,297800.0,5999.75,0.0,17891.7,4680.0
2021-01-18,Arkansas,usa,,,3017643.726170697,West South Central,136337.25,297800.0,5999.75,0.0,15909.708333333334,3900.0
2021-01-19,Arkansas,usa,142337.0,297800.0,3017643.726170697,West South Central,142337.0,297800.0,5999.75,0.0,14494.0,3342.8571428571427
2021-01-20,Arkansas,usa,173312.0,334825.0,3017643.726170697,West South Central,173312.0,334825.0,30975.0,37025.0,11208.285714285714,5289.285714285715
2021-01-21,Arkansas,usa,173312.0,361550.0,3017643.726170697,West South Central,173312.0,361550.0,0.0,26725.0,9285.142857142857,9107.142857142857
2021-01-22,Arkansas,usa,201676.0,362050.0,3017643.726170697,West South Central,201676.0,362050.0,28364.0,500.0,11905.42857142857,9178.57142857143
2021-01-23,Arkansas,usa,201676.0,368650.0,3017643.726170697,West South Central,201676.0,368650.0,0.0,6600.0,11048.32142857143,10121.42857142857
2021-01-24,Arkansas,usa,214240.0,368650.0,3017643.726170697,West South Central,214240.0,368650.0,12564.0,0.0,11986.07142857143,10121.42857142857
2021-01-25,Arkansas,usa,221095.0,368650.0,3017643.726170697,West South Central,221095.0,368650.0,6855.0,0.0,12108.25,10121.42857142857
2021-01-26,Arkansas,usa,236290.0,394775.0,3017643.726170697,West South Central,236290.0,394775.0,15195.0,26125.0,13421.857142857143,13853.57142857143
2021-01-27,Arkansas,usa,252824.0,406175.0,3017643.726170697,West South Central,252824.0,406175.0,16534.0,11400.0,11358.857142857143,10192.857142857143
2021-01-28,Arkansas,usa,252824.0,453300.0,3017643.726170697,West South Central,252824.0,453300.0,0.0,47125.0,11358.857142857143,13107.142857142857
2021-01-29,Arkansas,usa,269993.0,453500.0,3017643.726170697,West South Central,269993.0,453500.0,17169.0,200.0,9759.57142857143,13064.285714285714
2021-01-30,Arkansas,usa,288651.0,453700.0,3017643.726170697,West South Central,288651.0,453700.0,18658.0,200.0,12425.0,12150.0
2021-01-31,Arkansas,usa,303793.0,453700.0,3017643.726170697,West South Central,303793.0,453700.0,15142.0,0.0,12793.285714285714,12150.0
2021-02-01,Arkansas,usa,311230.0,453700.0,3017643.726170697,West South Central,311230.0,453700.0,7437.0,0.0,12876.42857142857,12150.0
2021-02-02,Arkansas,usa,314470.0,467800.0,3017643.726170697,West South Central,314470.0,467800.0,3240.0,14100.0,11168.57142857143,10432.142857142857
2021-02-03,Arkansas,usa,322447.0,499325.0,3017643.726170697,West South Central,322447.0,499325.0,7977.0,31525.0,9946.142857142857,13307.142857142857
2021-02-04,Arkansas,usa,338227.0,516925.0,3017643.726170697,West South Central,338227.0,516925.0,15780.0,17600.0,12200.42857142857,9089.285714285714
2021-02-05,Arkansas,usa,351175.0,535550.0,3017643.726170697,West South Central,351175.0,535550.0,12948.0,18625.0,11597.42857142857,11721.42857142857
2021-02-06,Arkansas,usa,374674.0,540050.0,3017643.726170697,West South Central,374674.0,540050.0,23499.0,4500.0,12289.0,12335.714285714286
2021-02-07,Arkansas,usa,393445.0,540050.0,3017643.726170697,West South Central,393445.0,540050.0,18771.0,0.0,12807.42857142857,12335.714285714286
2021-02-08,Arkansas,usa,401664.0,540050.0,3017643.726170697,West South Central,401664.0,540050.0,8219.0,0.0,12919.142857142857,12335.714285714286
2021-02-09,Arkansas,usa,404127.0,580775.0,3017643.726170697,West South Central,404127.0,580775.0,2463.0,40725.0,12808.142857142857,16139.285714285714
2021-02-10,Arkansas,usa,418054.0,581875.0,3017643.726170697,West South Central,418054.0,581875.0,13927.0,1100.0,13658.142857142857,11792.857142857143
2021-02-11,Arkansas,usa,430803.0,593775.0,3017643.726170697,West South Central,430803.0,593775.0,12749.0,11900.0,13225.142857142857,10978.57142857143
2021-02-12,Arkansas,usa,447146.0,629900.0,3017643.726170697,West South Central,447146.0,629900.0,16343.0,36125.0,13710.142857142857,13478.57142857143
2021-02-13,Arkansas,usa,457386.0,630700.0,3017643.726170697,West South Central,457386.0,630700.0,10240.0,800.0,11816.0,12950.0
2021-02-14,Arkansas,usa,472536.0,630700.0,3017643.726170697,West South Central,472536.0,630700.0,15150.0,0.0,11298.714285714286,12950.0
